feature_set,model,C,holdout_session,samples,accuracy,balanced_accuracy,macro_f1,threshold,cm00,cm01,cm10,cm11
lr20_rich,linear,0.03,glasses_test_v2,422,0.7819905213270142,0.7819905213270142,0.7768581741269514,0.0,197,14,78,133
lr20_rich,linear,0.03,noglasses_highlight_v1,291,0.697594501718213,0.7062192351382053,0.6894946163546416,0.0,125,14,74,78
lr20_rich,linear,0.03,noglasses_test_v2,402,1.0,1.0,1.0,0.029505422219285243,211,0,0,191
avg12_contrast,linear,0.0003,glasses_highlight_v1,422,0.8293838862559242,0.8293838862559242,0.8292880258899676,-0.1327715005005346,180,31,41,170
avg12_contrast,linear,0.0003,glasses_highlight_v2,422,0.8625592417061612,0.8625592417061612,0.8599130036630036,-0.1704026405742536,153,58,0,211
avg12_contrast,linear,0.0003,glasses_test_v2,422,0.7440758293838863,0.7440758293838863,0.7261386852541762,-0.17550363246068001,103,108,0,211
avg12_contrast,linear,0.0003,noglasses_highlight_v1,291,0.6048109965635738,0.6195569859901553,0.56503372889507,0.12220461658018236,132,7,108,44
avg12_contrast,linear,0.0003,noglasses_test_v2,402,1.0,1.0,1.0,-0.2879927739151998,211,0,0,191
avg12_contrast,linear,0.001,glasses_highlight_v1,422,0.7132701421800948,0.7132701421800948,0.6902686538193243,0.0,208,3,118,93
avg12_contrast,linear,0.001,glasses_highlight_v2,422,0.933649289099526,0.933649289099526,0.933355893965031,0.0470099758668738,183,28,0,211
avg12_contrast,linear,0.001,glasses_test_v2,422,0.7535545023696683,0.7535545023696683,0.73761867183203,-0.14331823019143902,107,104,0,211
avg12_contrast,linear,0.001,noglasses_highlight_v1,291,0.6357388316151202,0.645470465732677,0.6222445380621142,-0.2241858720011696,120,19,87,65
avg12_contrast,linear,0.001,noglasses_test_v2,402,1.0,1.0,1.0,-0.021708227214979902,211,0,0,191
avg12_contrast,linear,0.003,glasses_highlight_v1,422,0.7725118483412322,0.7725118483412322,0.7652947719688543,-0.09049711057520643,200,11,85,126
avg12_contrast,linear,0.003,glasses_highlight_v2,422,0.9075829383886256,0.9075829383886256,0.9067868126391146,0.07690487034677963,172,39,0,211
avg12_contrast,linear,0.003,glasses_test_v2,422,0.7701421800947867,0.7701421800947867,0.7573202904994812,-0.024094945044126882,114,97,0,211
avg12_contrast,linear,0.003,noglasses_highlight_v1,291,0.6219931271477663,0.6320049223778872,0.6069112879457708,-0.24169579269374086,119,20,90,62
avg12_contrast,linear,0.003,noglasses_test_v2,402,1.0,1.0,1.0,0.03865633054714484,211,0,0,191
avg12_contrast,linear,0.01,glasses_highlight_v1,422,0.7535545023696683,0.7535545023696683,0.7423505929317835,-0.05028371323002648,203,8,96,115
avg12_contrast,linear,0.01,glasses_highlight_v2,422,0.8625592417061612,0.8625592417061612,0.8599130036630036,-0.09523781154428855,153,58,0,211
avg12_contrast,linear,0.01,glasses_test_v2,422,0.7725118483412322,0.7725118483412322,0.7600966435322264,0.0,115,96,0,211
avg12_contrast,linear,0.01,noglasses_highlight_v1,291,0.584192439862543,0.5970513063233625,0.5537545149230088,-0.06110214764934938,123,16,105,47
avg12_contrast,linear,0.01,noglasses_test_v2,402,1.0,1.0,1.0,-0.08203107601339012,211,0,0,191
avg12_contrast,linear,0.03,glasses_highlight_v1,422,0.6872037914691943,0.6872037914691943,0.6644013880855986,-0.022388744200475902,200,11,121,90
avg12_contrast,linear,0.03,glasses_highlight_v2,422,0.8507109004739336,0.8507109004739337,0.8473078138012233,-0.18039736608559742,148,63,0,211
