feature_set,model,C,holdout_session,samples,accuracy,balanced_accuracy,macro_f1,threshold,cm00,cm01,cm10,cm11
avg4_dark,linear,0.001,noglasses_test_v2,402,1.0,1.0,1.0,0.0,211,0,0,191
avg4_dark,linear,0.003,glasses_highlight_v1,422,0.6350710900473934,0.6350710900473934,0.6320878623188406,0.0,153,58,96,115
avg4_dark,linear,0.003,glasses_highlight_v2,422,0.590047393364929,0.590047393364929,0.507232290506564,0.0,38,173,0,211
avg4_dark,linear,0.003,glasses_test_v2,422,0.8909952606635071,0.8909952606635071,0.8909070473193211,0.0,194,17,29,182
avg4_dark,linear,0.003,noglasses_highlight_v1,291,0.4879725085910653,0.5040230973116244,0.42247292779413137,0.0,120,19,130,22
avg4_dark,linear,0.003,noglasses_test_v2,402,1.0,1.0,1.0,0.0,211,0,0,191
avg4_dark,linear,0.01,glasses_highlight_v1,422,0.6161137440758294,0.6161137440758294,0.6144162436548224,0.0,144,67,95,116
avg4_dark,linear,0.01,glasses_highlight_v2,422,0.5592417061611374,0.5592417061611374,0.452971677074041,0.0,25,186,0,211
avg4_dark,linear,0.01,glasses_test_v2,422,0.8862559241706162,0.886255924170616,0.8861305990286023,0.0,194,17,31,180
avg4_dark,linear,0.01,noglasses_highlight_v1,291,0.49140893470790376,0.5073125709958349,0.4278350515463918,0.0,120,19,129,23
avg4_dark,linear,0.01,noglasses_test_v2,402,1.0,1.0,1.0,0.0,211,0,0,191
avg4_dark,linear,0.03,glasses_highlight_v1,422,0.6137440758293838,0.6137440758293838,0.6123837055319821,0.0,142,69,94,117
avg4_dark,linear,0.03,glasses_highlight_v2,422,0.5497630331753555,0.5497630331753555,0.4352884832093757,0.0,21,190,0,211
avg4_dark,linear,0.03,glasses_test_v2,422,0.8838862559241706,0.8838862559241706,0.8837393665768951,0.0,194,17,32,179
avg4_dark,linear,0.03,noglasses_highlight_v1,291,0.49140893470790376,0.5070049223778872,0.43073913503225125,0.0,119,20,128,24
avg4_dark,linear,0.03,noglasses_test_v2,402,1.0,1.0,1.0,0.0,211,0,0,191
avg4_dark,linear,0.1,glasses_highlight_v1,422,0.6066350710900474,0.6066350710900474,0.6057495328785935,0.0,138,73,93,118
avg4_dark,linear,0.1,glasses_highlight_v2,422,0.5379146919431279,0.5379146919431279,0.41246189106019604,0.0,16,195,0,211
avg4_dark,linear,0.1,glasses_test_v2,422,0.8815165876777251,0.8815165876777251,0.8813460197494207,0.0,194,17,33,178
avg4_dark,linear,0.1,noglasses_highlight_v1,291,0.4948453608247423,0.5102943960620977,0.43599446239040146,0.0,119,20,127,25
avg4_dark,linear,0.1,noglasses_test_v2,402,1.0,1.0,1.0,0.0,211,0,0,191
avg4_dark,linear,0.3,glasses_highlight_v1,422,0.6066350710900474,0.6066350710900474,0.6057495328785935,0.0,138,73,93,118
avg4_dark,linear,0.3,glasses_highlight_v2,422,0.5379146919431279,0.5379146919431279,0.41246189106019604,0.0,16,195,0,211
avg4_dark,linear,0.3,glasses_test_v2,422,0.8815165876777251,0.8815165876777251,0.8813460197494207,0.0,194,17,33,178
avg4_dark,linear,0.3,noglasses_highlight_v1,291,0.49140893470790376,0.5070049223778872,0.43073913503225125,0.0,119,20,128,24
avg4_dark,linear,0.3,noglasses_test_v2,402,1.0,1.0,1.0,0.0,211,0,0,191
avg4_dark,linear,1.0,glasses_highlight_v1,422,0.6042654028436019,0.6042654028436019,0.6034615665952071,0.0,137,74,93,118
