video_id,source_path,frame_id,timestamp_sec,det_ok,dlib_update_ok,roi_age,frame_w,frame_h,eye_frame_w,eye_frame_h,eye_frame_orientation,dlib_decimate,eye_roi_shrink,fixed_thresh,adapt_offset,fixed_scale,label_name,label,left_pre_x,left_pre_y,left_pre_w,left_pre_h,right_pre_x,right_pre_y,right_pre_w,right_pre_h,left_x,left_y,left_w,left_h,right_x,right_y,right_w,right_h,eye_valid,feature0_q,feature1_q,eye_debug,low_pct,high_pct,left_t_low,left_t_high,right_t_low,right_t_high,left_q_dark,left_q_ref,right_q_dark,right_q_ref,left_contrast,right_contrast,left_center_w,left_center_h,right_center_w,right_center_h,robust_f0,robust_f1,svm_ready,svm_pred,svm_score_q
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,32,2.1333333333333333,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,107,164,68,17,204,163,67,17,107,164,68,17,204,163,67,17,1,3243,3194,1027098948,10.0,60.0,68.0,73.0,56.0,61.0,63.0,83.0,51.0,71.0,20.0,20.0,54.0,12.0,53.0,12.0,0.791748046875,0.77978515625,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,33,2.2,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,109,167,67,10,207,168,68,10,109,167,67,10,207,168,68,10,1,3804,3741,959857984,10.0,60.0,64.0,69.0,54.0,57.0,59.0,79.0,51.0,63.0,20.0,12.0,53.0,7.0,54.0,7.0,0.9287109375,0.913330078125,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,34,2.2666666666666666,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,115,163,64,14,206,164,67,14,115,163,64,14,206,164,67,14,1,3414,3057,1026967874,10.0,60.0,66.0,73.0,54.0,61.0,59.0,87.0,47.0,75.0,28.0,28.0,52.0,9.0,53.0,9.0,0.83349609375,0.746337890625,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,35,2.3333333333333335,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,119,165,64,14,216,168,67,14,119,165,64,14,216,168,67,14,1,3186,3354,993477952,10.0,60.0,64.0,69.0,55.0,59.0,59.0,79.0,51.0,67.0,20.0,16.0,52.0,9.0,53.0,9.0,0.77783203125,0.81884765625,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,36,2.4,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,118,165,67,14,215,167,68,17,118,165,67,14,215,167,68,17,1,3414,3328,993477952,10.0,60.0,64.0,69.0,55.0,59.0,59.0,79.0,51.0,67.0,20.0,16.0,53.0,9.0,54.0,12.0,0.83349609375,0.8125,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,37,2.466666666666667,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,120,165,68,14,223,168,67,14,120,165,68,14,223,168,67,14,1,3414,3105,993477952,10.0,60.0,64.0,69.0,55.0,59.0,59.0,79.0,51.0,67.0,20.0,16.0,54.0,9.0,53.0,9.0,0.83349609375,0.758056640625,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,38,2.533333333333333,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,122,164,69,14,224,166,69,17,122,164,69,14,224,166,69,17,1,3641,3068,993477952,10.0,60.0,64.0,69.0,55.0,59.0,59.0,79.0,51.0,67.0,20.0,16.0,55.0,9.0,55.0,12.0,0.888916015625,0.7490234375,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,39,2.6,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,122,163,72,14,225,166,69,17,122,163,72,14,225,166,69,17,1,3641,3196,993477952,10.0,60.0,64.0,69.0,55.0,59.0,59.0,79.0,51.0,67.0,20.0,16.0,58.0,9.0,55.0,12.0,0.888916015625,0.7802734375,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,40,2.6666666666666665,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,125,162,72,21,224,167,68,21,125,162,72,21,224,167,68,21,1,3365,3024,993347908,10.0,60.0,68.0,73.0,53.0,59.0,63.0,83.0,47.0,71.0,20.0,24.0,58.0,14.0,54.0,14.0,0.821533203125,0.73828125,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,41,2.7333333333333334,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,130,164,69,11,229,166,68,18,130,164,69,11,229,166,68,18,1,3840,3219,959726399,10.0,60.0,63.0,67.0,52.0,57.0,59.0,75.0,47.0,67.0,16.0,20.0,55.0,8.0,54.0,13.0,0.9375,0.785888671875,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,42,2.8,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,133,162,69,14,231,163,67,18,133,162,69,14,231,163,67,18,1,3641,2982,959726399,10.0,60.0,63.0,67.0,52.0,57.0,59.0,75.0,47.0,67.0,16.0,20.0,55.0,9.0,53.0,13.0,0.888916015625,0.72802734375,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,43,2.8666666666666667,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,129,159,69,18,226,163,69,21,129,159,69,18,226,163,69,21,1,3309,2942,959726912,10.0,60.0,64.0,69.0,52.0,57.0,59.0,79.0,47.0,67.0,20.0,20.0,55.0,13.0,55.0,14.0,0.807861328125,0.71826171875,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,44,2.933333333333333,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,128,155,69,22,225,162,72,22,128,155,69,22,225,162,72,22,1,3141,3063,959727425,10.0,60.0,65.0,71.0,52.0,57.0,59.0,83.0,47.0,67.0,24.0,20.0,55.0,15.0,58.0,15.0,0.766845703125,0.747802734375,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,45,3.0,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,126,158,73,25,221,162,73,29,126,158,73,25,221,162,73,29,1,3132,2607,959728453,10.0,60.0,69.0,75.0,52.0,57.0,63.0,87.0,47.0,67.0,24.0,20.0,59.0,17.0,59.0,21.0,0.7646484375,0.636474609375,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,46,3.066666666666667,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,124,157,69,29,217,162,72,29,124,157,69,29,217,162,72,29,1,3121,2654,959728453,10.0,60.0,69.0,75.0,52.0,57.0,63.0,87.0,47.0,67.0,24.0,20.0,55.0,21.0,58.0,21.0,0.761962890625,0.64794921875,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,47,3.1333333333333333,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,122,159,69,22,220,164,69,25,122,159,69,22,220,164,69,25,1,3277,2628,959727425,10.0,60.0,65.0,71.0,52.0,57.0,59.0,83.0,47.0,67.0,24.0,20.0,55.0,15.0,55.0,17.0,0.800048828125,0.6416015625,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,48,3.2,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,124,161,68,18,220,164,68,21,124,161,68,18,220,164,68,21,1,2724,2757,993477952,10.0,60.0,64.0,69.0,55.0,59.0,59.0,79.0,51.0,67.0,20.0,16.0,54.0,13.0,54.0,14.0,0.6650390625,0.673095703125,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,49,3.2666666666666666,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,126,164,64,11,222,167,67,14,126,164,64,11,222,167,67,14,1,3101,3209,993477952,10.0,60.0,64.0,69.0,55.0,59.0,59.0,79.0,51.0,67.0,20.0,16.0,52.0,8.0,53.0,9.0,0.757080078125,0.783447265625,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,50,3.3333333333333335,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,123,163,67,14,222,167,64,14,123,163,67,14,222,167,64,14,1,3414,3117,993477952,10.0,60.0,64.0,69.0,55.0,59.0,59.0,79.0,51.0,67.0,20.0,16.0,53.0,9.0,52.0,9.0,0.83349609375,0.760986328125,0,-1,0
