video_id,feature,n_frames,open_mean,closed_mean,gap_open_minus_closed,separation_rough,acc_if_open_high,best_acc_allow_flip,direction
test3,center_dark_ratio_fixed,626,0.07116286120296815,0.04637327524294962,0.024789585960018533,0.9349665734950506,0.6613418530351438,0.6613418530351438,open_high
11,col_run_max_fixed,1110,0.6280514407467533,0.3702745756116543,0.25777686513509906,1.965266852786323,0.9351351351351351,0.9351351351351351,open_high
22,col_run_max_fixed,924,0.6131406480117819,0.24991864627399937,0.3632220017377825,2.8018588922299554,0.8939393939393939,0.8939393939393939,open_high
WIN_20260414_20_31_10_Pro,col_run_max_fixed,729,0.5176299621058827,0.3579359802431611,0.15969398186272166,0.8472754740183359,0.7037037037037037,0.7037037037037037,open_high
WIN_20260414_21_29_13_Pro,col_run_max_fixed,642,0.766366199589884,0.8628507653061225,-0.09648456571623854,-0.7441083329279048,0.4719626168224299,0.5280373831775701,closed_high
test1,col_run_max_fixed,385,0.6096835075493613,0.37625899280575537,0.23342451474360593,2.429543120187083,0.8779220779220779,0.8779220779220779,open_high
test2,col_run_max_fixed,623,0.5415359207266721,0.4654920634920635,0.0760438572346086,0.4305776471598199,0.7656500802568218,0.7656500802568218,open_high
test3,col_run_max_fixed,626,0.35613969363969367,0.1515228426395939,0.20461685100009977,2.4453515120107356,0.854632587859425,0.854632587859425,open_high
11,col_run_mean_fixed,1110,0.19297995745442179,0.1494794395390261,0.04350051791539569,0.9368331310703851,0.845945945945946,0.845945945945946,open_high
22,col_run_mean_fixed,924,0.18957796228989815,0.06697234027472816,0.12260562201516999,2.670257638815687,0.922077922077922,0.922077922077922,open_high
WIN_20260414_20_31_10_Pro,col_run_mean_fixed,729,0.17244397291702007,0.13809430793070063,0.034349664986319445,0.38234384980081665,0.6131687242798354,0.6131687242798354,open_high
WIN_20260414_21_29_13_Pro,col_run_mean_fixed,642,0.5033536158703444,0.4375169861561572,0.06583662971418724,0.6824438788790443,0.7570093457943925,0.7570093457943925,open_high
test1,col_run_mean_fixed,385,0.22579483940202807,0.17759674613250573,0.048198093269522346,1.223421337314203,0.8181818181818182,0.8181818181818182,open_high
test2,col_run_mean_fixed,623,0.18291973949096926,0.17850568557212004,0.00441405391884922,0.06659755721358743,0.5377207062600321,0.5377207062600321,open_high
test3,col_run_mean_fixed,626,0.06950882970267996,0.04637327524294962,0.023135554459730347,0.8889653808372877,0.6485623003194888,0.6485623003194888,open_high
11,col_run_topk_adapt,1110,0.5542561684553873,0.37955615545503185,0.17470001300035543,1.7697408440291957,0.9315315315315316,0.9315315315315316,open_high
22,col_run_topk_adapt,924,0.010554123711340206,0.0018101204035144809,0.008744003307825725,0.4150018104171742,0.5562770562770563,0.5562770562770563,open_high
WIN_20260414_20_31_10_Pro,col_run_topk_adapt,729,0.5143966680156482,0.4120170022796353,0.10237966573601293,0.7030797701695138,0.7050754458161865,0.7050754458161865,open_high
WIN_20260414_21_29_13_Pro,col_run_topk_adapt,642,0.4006240031897927,0.15061490221088433,0.2500091009789084,2.9611921973139608,0.883177570093458,0.883177570093458,open_high
test1,col_run_topk_adapt,385,0.5303440766550522,0.3178417266187051,0.21250235003634715,2.6859831850316565,0.8701298701298701,0.8701298701298701,open_high
test2,col_run_topk_adapt,623,0.47617464905037155,0.4102724867724868,0.06590216227788476,0.5754833205363004,0.7560192616372392,0.7560192616372392,open_high
test3,col_run_topk_adapt,626,0.5002489177489178,0.2927266134880348,0.20752230426088297,3.155535606564996,0.9265175718849841,0.9265175718849841,open_high
11,col_run_topk_fixed,1110,0.5165380554052429,0.2932590755062665,0.22327897989897638,1.9940432467835814,0.936036036036036,0.936036036036036,open_high
22,col_run_topk_fixed,924,0.5568480608738341,0.1774629840546697,0.3793850768191644,3.322964024715348,0.9036796536796536,0.9036796536796536,open_high
WIN_20260414_20_31_10_Pro,col_run_topk_fixed,729,0.43500041389205696,0.27969794832826744,0.15530246556378952,0.9179061224464374,0.6337448559670782,0.6337448559670782,open_high
